,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Ade,4,0,10,0,7,7,"[3357, 3659, 4202, 4593, 4959, 5293, 5627, 5870, 6213, 7501, 7869, 8301, 8660]","[(7, 7), [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [7, 0], [6, 0], [5, 0], [4, 0]]","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[10, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",2,6,7,0
1,Ade,9,5,9,9,1,7,"[2809, 3005, 3178, 3345, 3525, 3701, 3906, 4296, 5273, 5611, 6653, 7119]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 8], [10, 8], [9, 8], [9, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (-1, 0), (0, 1)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",1,4,8,90
2,Ade,5,14,9,14,7,7,"[2991, 3218, 3545, 3738, 3935, 4122, 4476, 4979, 5308]","[(7, 7), [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [8, 14], [9, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,180
3,Ade,4,8,10,8,7,0,"[2996, 3223, 3416, 3570, 3732, 3951, 4119, 4287, 4787, 5008, 5193]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,6,8,180
4,Ade,13,3,13,11,6,7,"[2025, 2197, 2333, 2495, 2672, 2850, 3289, 3856, 4044, 4837, 5073, 5759, 5952, 6185, 7105]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [11, 7], [12, 7], [13, 7], [14, 7], [14, 6], [14, 5], [14, 4], [14, 3], [13, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]","[10, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",2,8,7,90
5,Ade,3,3,11,3,7,9,"[2669, 3515, 3675, 3839, 4007, 4262, 4487, 4779, 5932, 6137, 6309, 6482]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",1,8,6,0
6,Ade,5,5,5,9,11,7,"[3002, 3163, 3382, 3956, 4208, 4422, 4645, 4996, 5525, 5914, 6819, 7060]","[(11, 7), [10, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [7, 7], [6, 7], [5, 7], [5, 6], [5, 5]]","[(-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[2, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,4,6,270
7,Ade,5,3,5,11,13,7,"[2058, 2409, 2587, 2786, 2980, 3175, 3548, 3813, 4708, 4969, 5168, 5497]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,8,8,270
8,Ade,4,8,10,8,7,14,"[2452, 2658, 2814, 2975, 3138, 3378, 3603, 3813, 4472, 4659, 4836]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [8, 8], [9, 8], [10, 8]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,6,6,0
9,Ade,8,4,8,10,1,7,"[2255, 2427, 2578, 2737, 2894, 3072, 3274, 4090, 4846, 5135, 5523, 5928, 6129, 6338]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [7, 7], [8, 7], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",special,6,7,90
