,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Lijing,9,4,9,10,1,7,"[1959, 2418, 2678, 2859, 3016, 3172, 3394, 3711, 4165, 4327, 4490, 4817, 5047]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 6], [10, 6], [10, 5], [10, 4], [9, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (-1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,6,8,90
1,Lijing,3,3,3,11,11,7,"[1804, 1990, 2140, 2279, 2422, 2556, 2704, 2975, 3225, 3391, 3569, 3763]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,8,8,270
2,Lijing,7,4,7,10,1,7,"[1864, 2026, 2187, 2325, 2471, 2646, 2854, 3032, 3473, 3709, 3939]","[(1, 7), [2, 7], [3, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 8], [6, 9], [6, 10], [7, 10]]","[(1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]","[8, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",2,6,6,90
3,Lijing,3,5,3,9,9,7,"[1775, 1942, 2099, 2245, 2401, 2526, 2896, 3333]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [4, 5], [3, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 1, 0]",1,4,6,270
4,Lijing,4,7,10,7,7,0,"[2036, 2187, 2328, 2483, 2620, 2769, 2954, 3128, 3395, 3642, 3854, 4002]","[(7, 0), [7, 1], [7, 2], [7, 3], [8, 3], [8, 4], [8, 5], [7, 5], [7, 6], [7, 7], [8, 7], [9, 7], [10, 7]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[4, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,6,7,180
5,Lijing,5,5,9,5,7,12,"[1899, 2051, 2217, 2368, 2524, 2687, 2868, 3098, 3285]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,0
6,Lijing,3,3,11,3,7,9,"[1826, 2009, 2202, 2387, 2580, 2793, 2981, 3171, 3617, 3899, 4093, 4264, 4793, 4990]","[(7, 9), [7, 8], [7, 7], [7, 8], [7, 7], [7, 6], [7, 5], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [3, 4], [3, 3]]","[(0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[7, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",2,8,6,0
7,Lijing,13,5,13,9,5,7,"[1827, 1990, 2153, 2307, 2445, 2619, 2838, 3050, 3385, 3641]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [13, 8], [13, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,8,90
8,Lijing,3,6,11,6,7,13,"[1948, 2172, 2336, 2500, 2678, 2880, 3066, 3241, 3468, 3699, 3874]","[(7, 13), [7, 12], [7, 11], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [9, 6], [10, 6], [11, 6]]","[(0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,8,7,0
9,Lijing,5,12,9,12,7,6,"[1831, 2022, 2191, 2358, 2514, 2733, 3109, 3334, 3727, 4749]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [7, 12], [6, 12], [5, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",special,4,6,180
