,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Lujie,3,5,11,5,7,12,"[1781, 2312, 2643, 2914, 3452, 3907, 4313, 4510, 4888, 5376, 5828, 6135, 6441]","[(7, 12), [6, 12], [6, 11], [5, 11], [5, 10], [6, 10], [6, 9], [5, 9], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [3, 5]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0)]",[9],"[1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1]",1,8,7,0
1,Lujie,14,4,14,10,8,7,"[2020, 2229, 2443, 2666, 2888, 3521, 4016, 4238, 4494]","[(8, 7), [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [13, 6], [13, 5], [14, 5], [14, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 0, 1]",0,6,6,90
2,Lujie,8,3,8,11,14,7,"[3135, 3334, 3494, 3810, 3927, 4292, 4550, 4786, 5121, 5310, 5788, 6026]","[(14, 7), [13, 7], [13, 6], [12, 6], [12, 5], [12, 4], [11, 4], [10, 4], [9, 4], [9, 3], [9, 2], [8, 2], [8, 3]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, 1)]","[9, 5]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,8,6,270
3,Lujie,5,6,9,6,7,13,"[1925, 2151, 2366, 2596, 2759, 3066, 3172, 3663, 3921, 4148, 4389]","[(7, 13), [7, 12], [7, 11], [6, 11], [6, 10], [6, 11], [6, 10], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, 1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[5],"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",1,4,7,0
4,Lujie,3,3,3,11,11,7,"[1810, 2022, 2396, 2545, 2918, 3081, 3415, 3670, 4007, 4187, 4473, 4706, 5885, 6119]","[(11, 7), [10, 7], [9, 7], [9, 6], [8, 6], [8, 5], [7, 5], [6, 5], [5, 5], [5, 4], [4, 4], [3, 4], [4, 4], [4, 3], [3, 3]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (1, 0), (0, -1), (-1, 0)]",[12],"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",1,8,8,270
5,Lujie,9,4,9,10,1,7,"[1925, 2193, 2466, 2685, 2913, 3139, 3520, 3785, 4023, 4244, 4503, 4777, 5026]","[(1, 7), [2, 7], [3, 7], [3, 6], [4, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [7, 5], [8, 5], [8, 4], [9, 4]]","[(1, 0), (1, 0), (0, -1), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[5],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,6,8,90
6,Lujie,5,5,9,5,7,13,"[2127, 2383, 2612, 3032, 3301, 3541, 3860, 4202, 4406, 4698, 4891, 5121]","[(7, 13), [7, 12], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [5, 7], [5, 6], [6, 6], [6, 5], [5, 5]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (-1, 0)]",[],"[0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",0,4,8,0
7,Lujie,4,4,10,4,7,11,"[1820, 2057, 2280, 2554, 2855, 3119, 3369, 3632, 3884, 4089, 5330, 5501]","[(7, 11), [6, 11], [6, 10], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [4, 5], [5, 5], [5, 4], [4, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (0, -1), (-1, 0)]",[10],"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1,6,7,0
8,Lujie,5,14,9,14,7,8,"[1977, 2195, 2809, 3080, 3242, 3555, 3755, 4052, 4281, 4542, 4791, 5073]","[(7, 8), [7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [7, 10], [7, 11], [6, 11], [6, 12], [5, 12], [5, 13], [5, 14]]","[(0, -1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1)]","[1, 4]","[0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 0, 0]",2,4,6,180
9,Lujie,3,8,11,8,7,1,"[2043, 2274, 2510, 2730, 3152, 5201, 5415, 5672, 5926, 6196, 6354, 6695, 6868]","[(7, 1), [7, 2], [7, 3], [7, 4], [8, 4], [7, 4], [8, 4], [8, 5], [9, 5], [9, 6], [10, 6], [10, 7], [10, 8], [11, 8]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0)]",[4],"[0, 0, 0, 1, 1, 2, 0, 2, 0, 2, 0, 0, 2]",special,8,7,180
