,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Why,2,5,2,9,10,7,"[3732, 4137, 4445, 4748, 5019, 5821, 6063, 6484, 6666, 7390, 7676, 8044]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [4, 7], [4, 6], [3, 6], [3, 5], [2, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,4,8,270
1,Why,4,11,10,11,7,3,"[2038, 2207, 2403, 2570, 2762, 2965, 3162, 3505, 3863, 4203, 4419]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [8, 8], [8, 9], [8, 10], [8, 11], [9, 11], [10, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,6,8,180
2,Why,3,3,11,3,7,10,"[2035, 2219, 2402, 2575, 2762, 2954, 3188, 3541, 3913, 4111, 4312, 4692, 4970]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3], [9, 3], [10, 3], [9, 3], [10, 3], [11, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0)]",[11],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",1,8,7,0
3,Why,3,6,11,6,7,12,"[1913, 2092, 2342, 2529, 2713, 2963, 3170, 3480, 3689, 3854, 4465, 4728]","[(7, 12), [7, 11], [7, 10], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [5, 6], [4, 6], [4, 5], [4, 6], [3, 6]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0)]","[3, 10]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",2,8,6,0
4,Why,4,7,10,7,7,1,"[1909, 2107, 2270, 2449, 2623, 2854, 3103, 3415, 3603]","[(7, 1), [7, 2], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [9, 7], [10, 7]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",1,6,6,180
5,Why,5,7,9,7,7,0,"[1887, 2055, 2227, 2412, 2614, 2774, 3088, 3231, 3941, 4154, 4367]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 7], [8, 7], [9, 7]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,180
6,Why,5,8,9,8,7,2,"[1806, 2026, 2206, 2380, 2544, 2722, 2900, 3253, 3819, 4032]","[(7, 2), [7, 3], [7, 4], [7, 5], [6, 5], [6, 6], [6, 7], [6, 8], [6, 7], [6, 8], [5, 8]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0)]","[4, 8]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,4,6,180
7,Why,13,3,13,11,5,7,"[1882, 2053, 2228, 2414, 2641, 2812, 3070, 3256, 3595, 3784, 3955, 4148]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [13, 6], [13, 5], [13, 4], [13, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,8,90
8,Why,7,4,7,10,0,7,"[1821, 1986, 2167, 2333, 2520, 2713, 3064, 3320, 3846, 4037, 4375, 4570]","[(0, 7), [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [5, 7], [5, 6], [6, 6], [7, 6], [7, 5], [7, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1,6,7,90
9,Why,2,3,2,11,9,7,"[1906, 2092, 2260, 2446, 2629, 2808, 3009, 3273, 3424, 3611, 3799, 3978, 4318]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [2, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",special,8,7,270
