,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Wudi,3,5,3,9,11,7,"[2373, 2695, 2922, 3143, 3326, 3518, 3808, 4090, 4392, 4642, 5364, 5746]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 7], [3, 8], [3, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (0, 1)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",1,4,8,270
1,Wudi,4,6,10,6,7,12,"[1946, 2481, 2769, 3060, 3289, 3495, 3685, 3892, 4331, 4700, 5083]","[(7, 12), [7, 11], [6, 11], [5, 11], [4, 11], [4, 10], [4, 9], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]",[7],"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,6,0
2,Wudi,6,5,6,9,0,7,"[2627, 3048, 3433, 3672, 3911, 4235, 4456, 4643, 4840, 5083]","[(0, 7), [0, 8], [0, 9], [1, 9], [0, 9], [1, 9], [2, 9], [3, 9], [4, 9], [5, 9], [6, 9]]","[(0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,6,90
3,Wudi,6,5,6,9,13,7,"[2394, 2591, 3008, 3842, 4024, 4216, 4386, 4591, 4903]","[(13, 7), [13, 8], [13, 9], [12, 9], [11, 9], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 0, 0, 0, 0, 0, 0, 0]",0,4,7,270
4,Wudi,0,3,0,11,7,7,"[3204, 3418, 3633, 3843, 3998, 4195, 5223, 5498, 5741, 5945, 6518, 6875, 7156, 7361, 7613]","[(7, 7), [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [1, 6], [0, 6], [1, 6], [1, 7], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[6, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2]",2,8,7,270
5,Wudi,4,9,10,9,7,1,"[2493, 2701, 2899, 3252, 3446, 3618, 4094, 4297, 4463, 4605, 4801, 5019, 5417]","[(7, 1), [6, 1], [5, 1], [4, 1], [4, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [4, 9]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[5],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,8,180
6,Wudi,10,3,10,11,2,7,"[2627, 2836, 2994, 3127, 3296, 3452, 3646, 4221, 4659, 4852, 5086, 5284, 5548, 5919]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [8, 6], [9, 6], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,8,8,90
7,Wudi,3,5,11,5,7,11,"[2900, 3088, 3294, 3486, 3677, 3890, 4342, 4540, 4738, 5057]","[(7, 11), [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,6,0
8,Wudi,1,4,1,10,8,7,"[2194, 2402, 2610, 2808, 3255, 3463, 3651, 4027, 4413, 4756, 4985, 5243]","[(8, 7), [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [1, 9], [1, 10]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[3, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,6,7,270
9,Wudi,12,5,12,9,4,7,"[2179, 2402, 2590, 2760, 2969, 3178, 3534, 3814, 4036, 4659, 4907, 5294]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 6], [12, 7], [12, 8], [12, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",special,4,8,90
