,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Wyk,6,5,6,9,0,7,"[1837, 2421, 3482, 3835, 4137, 4460, 4803, 5113, 5395]","[(0, 7), [0, 7], [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 6], [6, 5]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[1],"[2, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,6,90
1,Wyk,14,3,14,11,7,7,"[4299, 4638, 4923, 5212, 5474, 5742, 6004, 6293, 6535, 6795, 7075]","[(7, 7), [8, 7], [8, 8], [9, 8], [9, 9], [10, 9], [10, 10], [11, 10], [11, 11], [12, 11], [13, 11], [14, 11]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0]",0,8,7,90
2,Wyk,12,5,12,9,5,7,"[2075, 2293, 2510, 2743, 2972, 3231, 4316, 5155, 5714, 6416, 6803, 7162, 7525]","[(5, 7), [6, 7], [6, 6], [7, 6], [8, 6], [9, 6], [9, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [11, 9], [12, 9]]","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0)]","[7, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]",2,4,7,90
3,Wyk,13,5,13,9,5,7,"[1831, 2078, 2306, 2601, 2861, 3103, 3423, 3740, 3994, 4211, 5183, 5517]","[(5, 7), [6, 7], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6], [12, 6], [12, 7], [12, 6], [12, 5], [13, 5]]","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, -1), (0, -1), (1, 0)]","[9, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",2,4,8,90
4,Wyk,9,3,9,11,3,7,"[1793, 2017, 2229, 2518, 3028, 3266, 3693, 4169, 4516, 4860]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [8, 11], [9, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 2, 2, 2, 0, 2, 0]",0,8,6,90
5,Wyk,3,4,11,4,7,12,"[1926, 2154, 2405, 2748, 3007, 3294, 3580, 4370, 4900, 5475, 6390, 7056]","[(7, 12), [7, 11], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,8,8,0
6,Wyk,4,0,10,0,7,8,"[2083, 2335, 2608, 2923, 3924, 4345, 4667, 5280, 5733, 6203, 6383, 7790, 8691]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [6, 4], [6, 3], [6, 2], [6, 1], [5, 1], [5, 0], [6, 0], [5, 0], [4, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (1, 0), (-1, 0), (-1, 0)]",[11],"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1]",1,6,8,0
7,Wyk,1,4,1,10,7,7,"[3284, 3590, 3897, 4288, 4919, 5372, 5897, 7439, 7844, 8367, 8687]","[(7, 7), [6, 7], [5, 7], [4, 7], [4, 8], [3, 8], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [1, 4]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]","[7, 4]","[0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]",2,6,6,270
8,Wyk,4,7,10,7,7,14,"[2013, 2279, 2667, 2979, 3301, 4436, 4771, 5155, 5583, 5873]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8], [4, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,6,7,0
9,Wyk,6,5,6,9,13,7,"[1882, 2163, 2449, 2743, 3068, 3660, 4596, 5298, 5675]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [7, 6], [7, 5], [6, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (-1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 0]",special,4,7,270
