,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Zhangjie,3,2,11,2,7,9,"[1866, 2044, 2232, 2419, 2595, 2775, 2952, 3268, 3504, 3709, 3890]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,7,0
1,Zhangjie,4,10,10,10,7,4,"[1807, 1988, 2162, 2339, 2516, 2692, 2998, 3299, 3498, 4148, 4394]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [5, 11], [4, 11], [4, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,6,6,180
2,Zhangjie,5,11,9,11,7,3,"[1798, 2011, 2195, 2383, 2560, 2751, 2950, 3149, 3771, 4216, 4491, 4683]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [8, 9], [9, 9], [9, 10], [9, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, -1), (1, 0), (0, 1), (0, 1)]","[8, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",2,4,8,180
3,Zhangjie,3,2,11,2,7,10,"[1852, 2027, 2175, 2324, 2483, 2660, 2968, 3265, 3515, 3745, 3954, 4116, 4680, 4847]","[(7, 10), [7, 9], [7, 8], [7, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [9, 2], [9, 1], [10, 1], [11, 1], [11, 2]]","[(0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, 1)]","[11, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",2,8,8,0
4,Zhangjie,4,7,10,7,7,0,"[1791, 1973, 2111, 2272, 2423, 2517, 2729, 3172, 3345, 3494, 3890, 4183]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7], [9, 7], [8, 7], [9, 7], [10, 7]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,6,7,180
5,Zhangjie,6,5,6,9,0,7,"[1899, 2092, 2256, 2609, 2810, 2984, 3339, 3735]","[(0, 7), [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 8], [6, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,4,6,90
6,Zhangjie,5,12,9,12,7,5,"[1758, 1966, 2164, 2352, 2533, 2749, 3002, 3177, 3321]","[(7, 5), [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [9, 9], [9, 10], [9, 11], [9, 12]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[1],"[0, 0, 0, 0, 0, 2, 0, 0, 0]",1,4,7,180
7,Zhangjie,0,3,0,11,6,7,"[1925, 2102, 2296, 2520, 2721, 2907, 3271, 3746, 3914, 4075]","[(6, 7), [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 6], [0, 5], [0, 4], [0, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,8,6,270
8,Zhangjie,4,8,10,8,7,0,"[1864, 2033, 2201, 2366, 2574, 2790, 2986, 3207, 3421, 3594, 3760, 3925, 4226, 4560, 4719]","[(7, 0), [7, 1], [7, 0], [7, 1], [7, 2], [7, 3], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8]]","[(0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[6, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2,6,8,180
9,Zhangjie,5,5,5,9,12,7,"[1862, 2062, 2248, 2442, 2622, 2807, 2991, 3279, 3739]","[(12, 7), [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 6], [5, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 1]",special,4,7,270
