,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Cky,2,5,2,9,9,7,"[1793, 2126, 2494, 2969, 3344, 3695, 3970, 4396, 4729, 5433, 5736]","[(9, 7), [8, 7], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [3, 4], [3, 5], [2, 5]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0)]","[3, 9]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,4,7,270
1,Cky,9,3,9,11,2,7,"[2440, 2770, 3163, 3489, 3818, 4218, 4594, 4856, 5164, 5497, 5811]","[(2, 7), [3, 7], [4, 7], [4, 8], [4, 9], [4, 10], [5, 10], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0]",0,8,7,90
2,Cky,2,4,2,10,9,7,"[2159, 2470, 2785, 3177, 3519, 3811, 4099, 4413, 4778, 5287, 5714, 6085]","[(9, 7), [8, 7], [8, 6], [8, 5], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [4, 3], [3, 3], [3, 4], [2, 4]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, 1), (-1, 0)]",[9],"[0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0]",1,6,7,270
3,Cky,4,11,10,11,7,3,"[2404, 3222, 3555, 3854, 4169, 4566, 4998, 5309, 5673, 6034, 6411, 7037, 7450]","[(7, 3), [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [5, 10], [5, 11], [4, 11]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0)]",[11],"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1,6,8,180
4,Cky,3,7,11,7,7,1,"[2066, 2264, 2484, 2703, 3311, 3683, 3949, 4215, 4507, 5078, 5429, 5714]","[(7, 1), [8, 1], [9, 1], [10, 1], [10, 2], [11, 2], [11, 3], [11, 4], [11, 5], [10, 5], [10, 6], [10, 7], [11, 7]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0)]","[9, 4]","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2]",2,8,6,180
5,Cky,4,10,10,10,7,4,"[2292, 2656, 3087, 3503, 3769, 4083, 4386, 4730, 5078]","[(7, 4), [6, 4], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[1, 1, 0, 0, 0, 0, 0, 0, 1]",0,6,6,180
6,Cky,3,14,11,14,7,6,"[3473, 3738, 3996, 4273, 4751, 4962, 5187, 5437, 5681, 5905, 6154, 6482]","[(7, 6), [8, 6], [9, 6], [10, 6], [11, 6], [11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [11, 12], [11, 13], [11, 14]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,8,8,180
7,Cky,5,5,5,9,13,7,"[2074, 2373, 2702, 2986, 3227, 3456, 3724, 3974, 4251, 4451, 4704, 5095, 5533, 5788]","[(13, 7), [13, 6], [13, 5], [13, 6], [12, 6], [11, 6], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9]]","[(0, -1), (0, -1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[6, 3]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,4,8,270
8,Cky,5,14,9,14,7,8,"[3006, 4577, 4811, 5035, 5303, 5555, 6012, 6665, 6909, 7761, 8003, 8195, 8418, 8647, 8891, 9629, 9884, 10149, 10428, 10864]","[(7, 8), [8, 8], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8], [12, 8], [13, 8], [14, 8], [14, 9], [14, 10], [14, 11], [14, 12], [14, 13], [14, 14], [13, 14], [12, 14], [11, 14], [10, 14], [9, 14]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[7],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,4,6,180
9,Cky,4,9,10,9,7,3,"[2178, 2407, 2631, 2854, 3095, 3325, 3582, 3834, 4376, 4572, 4762, 4946, 5141, 5331, 5546, 5757, 5979, 6208, 6521, 6746, 6910, 7341, 7553, 7773, 7996]","[(7, 3), [8, 3], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3], [2, 3], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13], [2, 13], [3, 13], [4, 13], [4, 12], [4, 11], [4, 10], [4, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",special,6,6,180
