,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Csz,3,7,11,7,7,0,"[7259, 7891, 8321, 8613, 8889, 9200, 9478, 10814, 11171, 11362, 11663]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [8, 6], [8, 7], [9, 7], [10, 7], [11, 7]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,8,7,180
1,Csz,5,7,9,7,7,0,"[2323, 2489, 2656, 2812, 2989, 3160, 3336, 3983, 4368]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [6, 7], [5, 7]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,180
2,Csz,3,3,3,11,11,7,"[2266, 3017, 3215, 3367, 3538, 3738, 4207, 4386, 4593, 4996, 5474, 5775]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [4, 9], [3, 9], [3, 10], [3, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]","[7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,8,8,270
3,Csz,3,6,11,6,7,12,"[2280, 2472, 2642, 2811, 2969, 3146, 3673, 4631, 4787, 5014, 5731, 6001]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [8, 6], [9, 6], [10, 6], [9, 6], [10, 6], [11, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0)]","[10, 7]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2]",2,8,6,0
4,Csz,4,5,10,5,7,12,"[2087, 2278, 2433, 2604, 2786, 2952, 3146, 3469, 3682, 3882]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,6,7,0
5,Csz,6,5,6,9,14,7,"[2207, 2384, 2568, 2731, 2930, 3083, 3259, 3606, 3783, 3965, 4282, 4467]","[(14, 7), [13, 7], [12, 7], [11, 7], [10, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 6], [6, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,8,270
6,Csz,6,5,6,9,0,7,"[2208, 2382, 2567, 2734, 2918, 3596, 3794, 4171]","[(0, 7), [1, 7], [2, 7], [3, 7], [3, 6], [4, 6], [5, 6], [6, 6], [6, 5]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 1]",1,4,6,90
7,Csz,4,4,4,10,10,7,"[2003, 2196, 2342, 2539, 2736, 2887, 3487, 3706, 3908, 4578, 5162]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [5, 8], [5, 9], [4, 9], [4, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",1,6,6,270
8,Csz,4,6,10,6,7,14,"[2094, 2273, 2477, 2675, 2844, 3048, 3230, 3537, 3729, 4055, 4284]","[(7, 14), [8, 14], [8, 13], [8, 12], [8, 11], [8, 10], [8, 9], [8, 8], [9, 8], [10, 8], [10, 7], [10, 6]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",1,6,8,0
9,Csz,4,11,10,11,7,3,"[1947, 2155, 2365, 2563, 2758, 2940, 3165, 3411, 3780, 4009, 4189, 4591, 4755]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [8, 11], [7, 11], [6, 11], [5, 11], [4, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",special,6,8,180
