,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Lili,5,12,9,12,7,6,"[3344, 3998, 5278, 6718, 7286, 7941, 8515, 9178, 9932, 10451]","[(7, 6), [7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 11], [6, 12], [5, 12]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0)]","[3, 8]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,4,6,180
1,Lili,4,0,10,0,7,7,"[10194, 10801, 11245, 12088, 12496, 12885, 13288, 13786, 14255, 14706]","[(7, 7), [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [8, 0], [9, 0], [10, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",0,6,7,0
2,Lili,3,10,11,10,7,4,"[1889, 2118, 2345, 2657, 2919, 3228, 3919, 4301, 4505, 4770, 5221, 5475]","[(7, 4), [7, 5], [7, 6], [7, 7], [8, 7], [8, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [11, 9], [11, 10]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[6],"[0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0]",1,8,6,180
3,Lili,4,3,4,11,12,7,"[1819, 2002, 2872, 3087, 3304, 3505, 3715, 3922, 4189, 5280, 5564, 5772]","[(12, 7), [11, 7], [11, 8], [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11]]","[(-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,8,8,270
4,Lili,5,12,9,12,7,5,"[1572, 1931, 2180, 2361, 2611, 2860, 3119, 3363, 3604, 3837, 4244, 4440, 4634, 4826, 5038]","[(7, 5), [7, 4], [7, 5], [7, 4], [7, 5], [7, 6], [7, 5], [7, 6], [8, 6], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12]]","[(0, -1), (0, 1), (0, -1), (0, 1), (0, 1), (0, -1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[6, 3]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",2,4,7,180
5,Lili,12,5,12,9,4,7,"[1556, 1959, 3023, 3210, 3397, 3587, 3821, 4034, 4253, 4522, 4884, 5113]","[(4, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 6], [12, 5]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,8,90
6,Lili,0,4,0,10,6,7,"[1987, 2189, 2665, 2863, 3081, 3277, 3479, 3739, 3998, 4277, 4682, 4994, 5293]","[(6, 7), [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [4, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 6], [0, 5], [0, 4]]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[6, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2,6,6,270
7,Lili,14,3,14,11,7,7,"[2049, 2299, 2532, 2763, 2964, 3180, 3669, 3877, 4165, 4427, 4657, 4867, 5148]","[(7, 7), [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [14, 7], [14, 6], [14, 7], [14, 8], [14, 9], [14, 10], [14, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",1,8,7,90
8,Lili,4,14,10,14,7,6,"[1925, 2182, 2482, 2692, 2964, 3244, 3537, 3912, 4335, 4758, 5122]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [8, 14], [9, 14], [10, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",0,6,8,180
9,Lili,1,3,1,11,9,7,"[1776, 2061, 2278, 2611, 2869, 3204, 3484, 3838, 4241, 5001, 5362, 5698]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2]",special,8,8,270
