,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Weixhuxuan,4,12,10,12,7,6,"[3970, 6159, 7008, 7491, 7848, 8197, 9036, 10125, 10503, 11067, 11570]","[(7, 6), [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [7, 11], [6, 11], [5, 11], [4, 11], [4, 12]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[1],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,6,6,180
1,Weixhuxuan,5,5,5,9,13,7,"[2596, 3689, 4478, 4790, 4990, 5214, 5740, 6114, 6420, 6603, 6791, 7051, 7580, 7760]","[(13, 7), [14, 7], [14, 8], [13, 8], [12, 8], [13, 8], [12, 8], [11, 8], [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [5, 9]]","[(1, 0), (0, 1), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[1, 5]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,8,270
2,Weixhuxuan,4,0,10,0,7,8,"[1948, 2425, 2708, 3031, 3312, 4167, 4396, 4700, 5009, 5275, 5579, 5883, 6060]","[(7, 8), [7, 7], [7, 6], [8, 6], [8, 5], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [6, 1], [5, 1], [4, 1], [4, 0]]","[(0, -1), (0, -1), (1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[],"[0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",0,6,8,0
3,Weixhuxuan,0,5,0,9,7,7,"[2147, 2307, 2483, 2652, 3141, 3301, 3484, 3870, 4026, 5046]","[(7, 7), [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [2, 8], [1, 8], [0, 8], [0, 8], [0, 9]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[9, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,4,7,270
4,Weixhuxuan,3,14,11,14,7,6,"[2143, 2320, 2477, 2659, 2831, 2997, 3164, 3372, 3570, 3888, 4038, 4225]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [5, 12], [4, 12], [3, 12], [3, 13], [3, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,8,8,180
5,Weixhuxuan,13,4,13,10,6,7,"[1882, 2029, 2173, 2329, 2507, 2675, 3019, 3185, 3508, 3695, 3852, 4019]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [9, 7], [9, 6], [9, 5], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[5],"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",1,6,7,90
6,Weixhuxuan,3,12,11,12,7,5,"[1725, 1851, 2005, 2159, 2320, 2565, 2728, 2884, 3050, 3190, 3372]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10], [3, 11], [3, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,8,7,180
7,Weixhuxuan,8,3,8,11,14,7,"[1766, 1884, 2048, 2225, 2403, 2558, 2722, 2873, 3079, 3245, 3414, 3560, 3726]","[(14, 7), [13, 7], [14, 7], [14, 7], [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3]]","[(-1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",2,8,6,270
8,Weixhuxuan,5,5,5,9,11,7,"[1818, 1974, 2141, 2303, 2466, 2651, 3382, 3649]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [5, 8], [5, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 2]",1,4,6,270
9,Weixhuxuan,3,3,11,3,7,10,"[1782, 1938, 2376, 2552, 2709, 2875, 3046, 3219, 3394, 3562, 3729, 3895, 4068]","[(7, 10), [8, 10], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[1],"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",special,8,7,0
