,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,Zhanghua,0,3,0,11,8,7,"[2631, 2983, 3429, 3786, 4061, 4281, 4630, 4827, 5319, 5469, 5828, 6035, 6230, 6524, 7039, 7355]","[(8, 7), [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2], [5, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [0, 2], [0, 3]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[7, 9]","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,8,8,270
1,Zhanghua,9,4,9,10,1,7,"[6325, 6695, 8356, 8673, 8881, 9364, 9551, 9722, 9897, 10076, 10912, 11074, 11218]","[(1, 7), [2, 7], [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 8], [9, 9], [9, 10]]","[(1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,6,8,90
2,Zhanghua,4,8,10,8,7,2,"[4047, 4307, 4439, 4587, 4709, 4889, 5223, 5389, 5527]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [8, 8], [9, 8], [10, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2]",0,6,6,180
3,Zhanghua,10,4,10,10,3,7,"[2461, 2626, 2754, 2871, 2990, 3119, 3369, 3732, 3900, 4055, 4294, 4442]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,6,7,90
4,Zhanghua,5,6,9,6,7,12,"[2675, 2848, 3012, 3198, 3737, 4259, 4563, 4807]","[(7, 12), [7, 11], [7, 10], [8, 10], [8, 9], [9, 9], [9, 8], [9, 7], [9, 6]]","[(0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]","[3, 5]","[0, 0, 0, 0, 0, 0, 0, 0]",2,4,6,0
5,Zhanghua,7,5,7,9,14,7,"[2042, 2256, 2456, 2591, 2782, 3015, 3407, 3846, 4212]","[(14, 7), [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [7, 8], [7, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,270
6,Zhanghua,3,1,11,1,7,7,"[1944, 2104, 2281, 2488, 3181, 4510, 4812, 5199, 5687, 6093, 6308, 6529]","[(7, 7), [7, 6], [7, 5], [7, 4], [8, 4], [7, 4], [7, 3], [7, 2], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1]]","[(0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[5, 4]","[0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2]",2,8,6,0
7,Zhanghua,5,14,9,14,7,6,"[2014, 2170, 2304, 2442, 2579, 2969, 3364, 3683, 4211, 4570]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [8, 14], [9, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,8,180
8,Zhanghua,7,3,7,11,0,7,"[2144, 3100, 3253, 3378, 3505, 3737, 3879, 4606, 5058, 5264, 5468]","[(0, 7), [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [5, 8], [6, 8], [7, 8], [7, 9], [7, 10], [7, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,8,7,90
9,Zhanghua,8,3,8,11,1,7,"[1962, 2195, 2364, 2507, 2624, 2749, 3319, 3689, 4338, 4597, 4743]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, -1), (0, -1), (0, -1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1]",special,8,7,90
